epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,14439.7,1.04341,2.03336,1.19133,1.29687,0,0.61968,0.4696,0.4892,0.29619,0.59421,0.44832,0.4477,0.24608,1.62384,2.90989,2.02811,1.82722,0,0.000301561,0.000301561,0.000301561
29,14954.3,1.03183,1.99655,1.16019,1.28544,0,0.63976,0.46018,0.48514,0.29051,0.62129,0.44245,0.44894,0.24283,1.61735,2.93853,2.03356,1.81959,0,0.000279063,0.000279063,0.000279063
30,15468.2,1.02176,1.98877,1.1555,1.28146,0,0.60386,0.47488,0.484,0.29091,0.57517,0.45367,0.44303,0.24051,1.61662,2.94807,2.02763,1.82466,0,0.000256565,0.000256565,0.000256565
31,15973.5,1.0905,1.82967,1.05544,1.342,0,0.59319,0.47383,0.47876,0.28911,0.58258,0.44358,0.43832,0.24081,1.63021,2.99014,2.06943,1.83233,0,0.000234068,0.000234068,0.000234068
32,16478.1,1.05616,1.7784,0.99519,1.318,0,0.60072,0.46915,0.48277,0.29145,0.57437,0.44797,0.44409,0.24304,1.62538,2.96511,2.05803,1.84189,0,0.00021157,0.00021157,0.00021157
33,16982.2,1.04134,1.75722,0.96819,1.30611,0,0.59514,0.467,0.47725,0.29113,0.61242,0.43053,0.44409,0.24316,1.62414,2.97632,2.07225,1.83428,0,0.000189072,0.000189072,0.000189072
34,17486.2,1.03027,1.73119,0.94009,1.29531,0,0.61331,0.46958,0.48127,0.29501,0.61876,0.44168,0.44745,0.2436,1.62651,3.01032,2.05693,1.84609,0,0.000166574,0.000166574,0.000166574
35,17989.6,1.01411,1.71664,0.91639,1.2824,0,0.60622,0.46995,0.4763,0.29361,0.59196,0.44676,0.43809,0.24156,1.62817,3.02255,2.07446,1.84766,0,0.000144077,0.000144077,0.000144077
36,18493.1,0.99855,1.6952,0.89223,1.27168,0,0.61627,0.46327,0.48015,0.29489,0.59793,0.44121,0.44346,0.2443,1.62454,3.02134,2.0721,1.85509,0,0.000121579,0.000121579,0.000121579
37,18996.8,0.99313,1.68302,0.87444,1.26695,0,0.61371,0.47171,0.47884,0.29435,0.60141,0.45427,0.44732,0.24541,1.63665,3.05484,2.075,1.87011,0,9.9081e-05,9.9081e-05,9.9081e-05
38,19500.3,0.9772,1.65783,0.84632,1.25083,0,0.58691,0.47662,0.47313,0.2907,0.595,0.45086,0.44384,0.24311,1.63839,3.06373,2.08619,1.87049,0,7.65832e-05,7.65832e-05,7.65832e-05
